cds	logFC	adj.P.Val	focus_term	sseqid	evalue	pident	ppos	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	-2.80764476593873	0.0100582609934777	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	-2.55255698004513	0.00983882988625157	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10564_c2_g1_i2:384-986(-)	-5.39046291880762	0.0445355609892856	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10634_c3_g2_i4:2-1969(+)	-7.56541472912493	0.00303515975103384	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i1:3-710(-)	-2.971125977102	0.023345920329059	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i2:3-410(-)	-3.63444881965647	0.00680282385207519	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i3:21-779(-)	-3.87758846388966	0.0291901007222029	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i4:21-377(-)	-3.7916748821421	0.00303515975103384	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g6_i1:21-377(-)	-2.58113499905008	0.0209039332615571	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	-3.57591160721321	0.0308566633333696	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i3:21-563(-)	-3.31005352453497	0.0372569850655904	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR108095_c0_g1_i1:318-722(+)	-2.61942333529519	0.0323716629393744	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR108449_c0_g1_i1:389-796(-)	-2.35254990363627	0.0129507861397295	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116644_c0_g1_i1:125-667(+)	-2.07073154217592	0.0370260718301155	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11670_c3_g5_i1:1-354(+)	-2.69973664374771	0.0489473432389788	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR122339_c1_g1_i1:448-861(-)	-2.16903480311266	0.00349209133641134	S_cType	NA	NA	NA	NA	NA
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR122365_c0_g1_i1:9-716(-)	-2.60663839745574	0.0445437674420119	S_cType	NA	NA	NA	NA	NA
